,GU_NM,grid_count,mcs_mean,mcs_max,top30_count,top30_ratio
1,관악구,78,0.5485420151916894,0.7822397849439013,63,80.76923076923077
2,송파구,138,0.5145489372897465,0.7907889594038511,83,60.14492753623188
3,강서구,123,0.514134848600621,0.7055938315203978,78,63.41463414634146
4,강남구,157,0.5020958422567363,0.7596460332435346,86,54.77707006369427
5,마포구,93,0.4902699480571921,0.67516656415336,56,60.215053763440864
6,광진구,64,0.48080122338067066,0.6353054344474305,28,43.75
7,영등포구,95,0.4747937171415363,0.7249835853563922,44,46.31578947368421
8,동작구,61,0.4474567282552427,0.6304527933249908,19,31.147540983606557
9,동대문구,53,0.43508026284836787,0.6265840563745716,16,30.18867924528302
10,강동구,106,0.43298073423862643,0.6185596450815328,35,33.0188679245283
11,중구,35,0.4257706385240255,0.6085949975274315,11,31.428571428571427
12,중랑구,65,0.4184666527772983,0.5336939202962113,9,13.846153846153847
13,금천구,52,0.4168636165591387,0.5747401217776367,11,21.153846153846153
14,성동구,65,0.40898680138812354,0.5307877720192777,6,9.230769230769232
15,구로구,88,0.4004116762777255,0.6254096017468828,15,17.045454545454543
16,성북구,81,0.3967425386734329,0.6114715699858254,7,8.641975308641975
17,서초구,158,0.394226652283827,0.6581287383913689,27,17.088607594936708
18,은평구,105,0.392476514556939,0.5718370956900504,6,5.714285714285714
19,노원구,113,0.3915073108757818,0.5627145847338424,15,13.274336283185843
20,용산구,85,0.37940557680016973,0.5288563566832187,6,7.0588235294117645
21,양천구,74,0.3791153712862455,0.5276847055557594,6,8.108108108108109
22,서대문구,64,0.37021569022831013,0.56579595317041,6,9.375
23,강북구,56,0.3665538965041673,0.4961877875778037,1,1.7857142857142856
24,종로구,75,0.3508889208714449,0.5836862402775921,10,13.333333333333334
25,도봉구,61,0.3488662556627038,0.5075469515659684,1,1.639344262295082
