"자치구","종류","X좌표","Y좌표","주소"
"종로구","보행등",197106.912499982,556253.118744653,"종로구 평창동 187-2도"
"종로구","보행등",198915.008127861,552563.433171962,"종로구 낙원동 1 대"
"종로구","보행등",196518.587906931,552516.133660485,"종로구 교북동 35-8도"
"종로구","보행등",199779.945559588,552661.003274521,"종로구 인의동 102대"
"종로구","보행등",200507.12917827006,552833.5335859483,"종로구 충신동 35-3도"
"종로구","보행등",201364.698309654,553332.069672948,"종로구 숭인동 9-13대"
"종로구","보행등",201336.60993115,553298.685165203,"종로구 창신동 20-59대"
"종로구","보행등",196862.549999982,554813.649994483,"종로구 부암동 208-78대"
"종로구","보행등",196865.98749998,554796.72499435,"종로구 부암동 208-6대"
"종로구","보행등",197682.987499986,553721.018744355,"종로구 세종로 1-39도"
"종로구","보행등",199794.44028529827,552544.1019030912,"종로구 인의동 66-6대"
"종로구","보행등",198515.518977085,552487.958355571,"종로구 공평동 186-1도"
"종로구","보행등",198515.51897708894,552487.9583553113,"종로구 공평동 186-1도"
"종로구","보행등",198797.624999993,553060.893744275,"종로구 재동 140-20대"
"종로구","보행등",199807.510816251,552633.906687211,"종로구 인의동 26-2도"
"종로구","보행등",199781.906472161,552636.459997719,"종로구 인의동 103대"
"종로구","보행등",198937.91079406,552566.178226556,"종로구 낙원동 7대"
"종로구","보행등",198897.8750000009,552321.0312497405,"종로구 종로2가 27도"
"종로구","보행등",197335.711624579,554601.498420152,"종로구 청운동 산1-1 임"
"종로구","보행등",201391.376823894,552632.824572513,"종로구 숭인동 81-4도"
"종로구","보행등",199775.583185251,552654.282556,"종로구 인의동 103대"
"종로구","보행등",199781.582152969,552628.456999849,"종로구 인의동 100-1도"
"종로구","보행등",197760.902989673,552718.780832352,"종로구 도렴동 1-57대"
"종로구","보행등",197760.902989673,552718.780832352,"종로구 도렴동 1-57대"
"종로구","보행등",197409.34017735,552798.635020749,"종로구 내자동 86-5대"
"종로구","보행등",197394.68945672896,552784.748961991,"종로구 내수동 143-4대"
"종로구","보행등",198201.224999988,552939.968744263,"종로구 중학동 93-1천"
"종로구","보행등",198504.30419972,552274.28779808,"종로구 관철동 291-2 도"
"종로구","보행등",201373.297871653,552593.941247208,"종로구 창신동 310-3도"
"종로구","보행등",197582.501188458,552900.228984362,"종로구 내자동 7-33대"
"종로구","보행등",197739.120849366,552716.440330475,"종로구 도렴동 28-7 도"
"종로구","보행등",197739.120849366,552716.440330475,"종로구 도렴동 28-7 도"
"종로구","보행등",197752.144496806,552739.65724001,"종로구 적선동 1-57대"
"종로구","보행등",197752.144496806,552739.65724001,"종로구 적선동 1-57대"
"종로구","보행등",198499.128458311,552174.188918651,"종로구 관철동 291-1천"
